question,link,images,answer,username,userlink
How do I consider someone's back end development experience when I am considering them as a co-founder?,https://www.quora.com/unanswered/How-do-I-consider-someones-back-end-development-experience-when-I-am-considering-them-as-a-co-founder,,Inc has this article on 5 Tips for Finding the Perfect Co-founder and one of them is to look for a proven track record. Ask for references or have a friend who is knowledgeable in that particular area help you 'interview' the co-founder candidate wrt to these skills.,Oliver Bremer,https://www.quora.com/profile/Oliver-Bremer
Can we worship Shiva and Kali together?,https://www.quora.com/Can-we-worship-Shiva-and-Kali-together,,Yes  you can worship both lord shiva and Devi kali,Ankit Guryan,https://www.quora.com/profile/Ankit-Guryan-1
What is the interpretation of Lord Krishna's Bhagavad Gita?,https://www.quora.com/What-is-the-interpretation-of-Lord-Krishnas-Bhagavad-Gita,,Interpretation summary is as below: 1.You do not live life once you means soul keeps taking birth in one or the other form. 2. A Spiritual Master is must for attaining knowledge about God. 3. God do descends on earth and his knowledge spoken is the true facts. 4. To achieve salvation you need to rise above the worship of Brahma Vishnu Mahesh and have to follow Om Tat Sat ie coded words for medidation through a spiritual master since these words denote powers higher than Brahma Vishnu Mahesh.,Pritam Kirpalusharan,https://www.quora.com/profile/Pritam-Kirpalusharan
Why is Lord Shiva called Maheshwar?,https://www.quora.com/Why-is-Lord-Shiva-called-Maheshwar?no_redirect=1,https://qph.cf2.quoracdn.net/main-qimg-732c7d71e379c6e2b3deace25c834387-lq | https://qph.cf2.quoracdn.net/main-qimg-732c7d71e379c6e2b3deace25c834387-lq,Eshwara normally has two meaningsIt is taken from the Dhatu Eshat means something that is extremely minute (smaller than quarts) so Eshwara means the one who is present in the minutest of particles.Commonly Eshwara means Lord of the entire creation but when Eshwara is used for Mahadev then the first meaning is correct and appropriate.Mahat is added as an adjective. Mahat + Eshwara = Maheshwara.OM NAMO BHAGHVATE RUDRAYAContinue ReadingEshwara normally has two meaningsIt is taken from the Dhatu Eshat means something that is extremely minute (smaller than quarts) so Eshwara means the one who is present in the minutest of particles.Commonly Eshwara means Lord of the entire creation but when Eshwara is used for Mahadev then the first meaning is correct and appropriate.Mahat is added as an adjective. Mahat + Eshwara = Maheshwara.OM NAMO BHAGHVATE RUDRAYA,Sūrya S A (सूर्य.एस्.ए),https://www.quora.com/profile/S%C5%ABrya-S-A-%E0%A4%B8%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%AF-%E0%A4%8F%E0%A4%B8%E0%A5%8D-%E0%A4%8F
Which is the most beautiful LDS temple?,https://www.quora.com/Which-is-the-most-beautiful-LDS-temple,https://qph.cf2.quoracdn.net/main-qimg-410fb30e7f2baaa1b79a4ea852ea07eb-lq | https://qph.cf2.quoracdn.net/main-qimg-410fb30e7f2baaa1b79a4ea852ea07eb-lq | https://qph.cf2.quoracdn.net/main-qimg-d299cb6974055cf956684e6464b7fe6d-lq | https://qph.cf2.quoracdn.net/main-qimg-0929904cf55d59cc3cea7c073f1fc4d7-lq,That depends if you mean the inside or the outside. I think we could eliminate the “Hinckley” temples architecturally. There are 20 or so that look like this:this is the Nashville Temple where I was an officiator. Architecturally there is nothing wonderful either inside or outside. Stunning modern temples as mentioned elsewhere are San Diego and Washington D.C. The new Rome Temple is oval-shapedContinue ReadingThat depends if you mean the inside or the outside. I think we could eliminate the “Hinckley” temples architecturally. There are 20 or so that look like this:this is the Nashville Temple where I was an officiator. Architecturally there is nothing wonderful either inside or outside. Stunning modern temples as mentioned elsewhere are San Diego and Washington D.C. The new Rome Temple is oval-shaped and unique:The pioneer temples (St. George Manti Logan and Salt Lake) are of course unique to themselves and iconic. While the Mount Timpanogos and Bountiful Temples are similar I find the decor inside Mt. Timpanogos more appealing. The Nauvoo Temple is lovely inside and it was created to look like it was built in the 1840s with authentically woven rugs. The lockers are made of wood with brass keys.There are of course the modern necessary things such as exit signs and a fire sprinkler system which are required but all in all it is a lovely reproduction complete with an assem...,Timothy L Thorman,https://www.quora.com/profile/Timothy-L-Thorman
How many temples are there in Mathura?,https://www.quora.com/How-many-temples-are-there-in-Mathura,https://qph.cf2.quoracdn.net/main-qimg-b076e70ccb2692feb6f619ebf706ecd8,Actually almost all of the religious places near by Mathura comes in the boundary of Mathura district like Nandgaao (Specially famous for Nandd Baba Temple)  Barsaana (Specially famous for Shri Jii Temple i.e. Radha Rani ji )  Dauji ( Famous for Daau Baba Temple )  Goverdhan ( Famous for Giriraj Parvat and Temple )  Gokul ( Famous for Raman Reti Ashram )  Vrindavan ( Famous for Baakein Bihari ji Temple and many more  Vrindavan itself having 5500 Temple ) and yes ! Mathura City ( famous for Shri Krishna Janam Bhumi i.e. Birth Place of “ Lord Shri Krishna” )  collectively known as “BRIJ_BHUMI” . Therefore  In Mathura there are approximately 6000 Temples including all small  smallest and big temples … Mathura is also very famous for NidhiVan  Shiv Taal  Yamuna Ghaats sort of thing … This is so ancient and religious place commonly the Land of Bansi Vaala and Radha Rani . Jai Shri Radhe Krishna ! Harr Harr Mahadev !,Himanshu Sharma,https://www.quora.com/profile/Himanshu-Sharma-2417
If God exists why doesn't he tell me?,https://www.quora.com/If-God-exists-why-doesnt-he-tell-me,,Because then there would be a direct connection and that would skip the intermediary the church. If it is skipped then it will not get its share. That’s not good for business.,Péter Balázs,https://www.quora.com/profile/P%C3%A9ter-Bal%C3%A1zs-2
What is the difference between Shankara and Ramanuja regarding Brahman?,https://www.quora.com/What-is-the-difference-between-Shankara-and-Ramanuja-regarding-Brahman,,Sankara held the view that there are two aspects to Brahman -the higher form — Nirguna — Abstract impersonal and devoid of all qualities and the lower or provisional Saguna form — which is personal and possessed of qualities (also known as Īśvara). Rāmānuja refuted this view and said that Brahman is one only known as Nārāyaṇa (the ground of Being) and is characterized by qualities (guṇas) of compassion loving kindness accessibility etc. to a degree that they were inconceivable by the human mind - and it is in this sense that Brahman is “nirguna.” Sankara held that the world is māyā — i.e. unsContinue ReadingSankara held the view that there are two aspects to Brahman -the higher form — Nirguna — Abstract impersonal and devoid of all qualities and the lower or provisional Saguna form — which is personal and possessed of qualities (also known as Īśvara). Rāmānuja refuted this view and said that Brahman is one only known as Nārāyaṇa (the ground of Being) and is characterized by qualities (guṇas) of compassion loving kindness accessibility etc. to a degree that they were inconceivable by the human mind - and it is in this sense that Brahman is “nirguna.” Sankara held that the world is māyā — i.e. unsubstantial and a superimposition on Brahman and the jīva is identical with Brahman. Rāmānuja held that the world (i.e. matter) and the jīvas (individual modes of consciousness) are the expressions or “body” of Nārāyana — ONE but different.,Rami Sivan,https://www.quora.com/profile/Rami-Sivan
Why is there discrimination against women in BAPS Swaminarayan temple?,https://www.quora.com/Why-is-there-discrimination-against-women-in-BAPS-Swaminarayan-temple,,You arguing from just outer side from the BAPS Swaminarayan Sanstha.If you will ask the same question to any women from little girl to aged women who is follower of BAPS swaminarayan Sansthathey all will answer you that they all are respcted by all in sanstha. From your kind information there is more than 50% devotees are women in BAPS sanstha.and they all accepting this rule which is in Shikshapatri which was written by Bhagwan Swaminarayan. And you arguing that women can’t write letter.which is wrong.if any lady has a problem related with her life or in any field she can write to guruji saintContinue ReadingYou arguing from just outer side from the BAPS Swaminarayan Sanstha.If you will ask the same question to any women from little girl to aged women who is follower of BAPS swaminarayan Sansthathey all will answer you that they all are respcted by all in sanstha. From your kind information there is more than 50% devotees are women in BAPS sanstha.and they all accepting this rule which is in Shikshapatri which was written by Bhagwan Swaminarayan. And you arguing that women can’t write letter.which is wrong.if any lady has a problem related with her life or in any field she can write to guruji saint and that letter would be read by one Yuvak(Young Boy) and he represents her problem or question to swamiji and whichever reply given by swamiji would be replied to that particular women through that Yuvak(Yound boy) So this rule is to protect our Hindu culture otherwise you can see what is happening without this rule. I believe that you can understand what i mean to say.. Thank you.. Jai swaminarayan,Nishant Parekh,https://www.quora.com/profile/Nishant-Parekh-18
Has anyone really seen Krishna?,https://www.quora.com/Has-anyone-really-seen-Krishna,,There is no guarantee to see every time. May be with grace of Lord Krishna possible at some instances either physical or astral body. But the truth is blessings showers on everyone whether believe or not. May Sri Krishna bless all 🙏,Radha Krishna,https://www.quora.com/profile/Radha-Krishna-1847
Among the two Adhi Shesha and Garuda who is more powerful?,https://www.quora.com/Among-the-two-Adhi-Shesha-and-Garuda-who-is-more-powerful,https://qph.cf2.quoracdn.net/main-qimg-210a95500ae3392be50f4e22e1b42a3c.webp | https://qph.cf2.quoracdn.net/main-qimg-6dcbd998a3a0d203bffee3b419dcdd65.webp | https://qph.cf2.quoracdn.net/main-qimg-d4a58f9b70c965e4a6986385e515f2da-pjlq,WOW! A2A on this! Thanks a LOT! Let’s jump into this well-posed question straightaway and compare these two celebrated mythological creatures in Hinduism: ADI-SHESH or SHESHNAG (THE SERPENT IMAGERY IN RELIGIONS): In Hinduism Adi Shesha or Sheshnag is the primordial multi-headed king of serpents associated with the creation/destruction of the universe. The coiling of this great snake leads to creation as time moves forward; when it coils back the universe ceases to exist. In Sanskrit the word Shesh means “remainder”. The time between the destruction of a universe and the creation of a new universe is called Kalpa. Thus this serpent is all that remains when a universe ceases to exist! This great snake forms the resting bed for Mahavishnu the preserver God as he lies on the sea of universes or the Kshir Samudra. It is believed that new universes are created destroyed and merged infinitely like countless bubbles in this cosmic ocean! To elaborate this is how the serpent is described in Hindu religious texts:The serpent is entrusted with the responsibility of giving the gift of time to a baby universe as soon as it is created. Additionally the serpent was granted a boon by the Creator God Brahma to bear the weight of the Earth.Similar to this we have the Norse myth of Jörmungandr or the Midguard Serpent who bears the Earth and ensures stability by grasping its own tail. When the serpent releases its tail the Nordic equivalent destruction begins (Ragnarök). Adhi Shesh is therefore a symbolic manifestation of the perennial nature of time. The snake symbolises the tender equilibrium between the simultaneous creation and destruction of universes. GARUDA (THE ANTHROPOMORPHIC EAGLE): Garuda is a half-human half eagle divine creature (sometimes seen as a God) that is the mount or Vahana of Lord Vishnu. Legend has it that Garuda was so humongous a creature that when it flew it would block the Sun’s rays. Garuda who is the King of the Birds feasts exclusively on snakes and is therefore the sworn enemy of the serpents or the Nāgas.Legend has it that Garuda had six sons from whom the entire race of birds evolved. Various stories are there in Hindu mythology that celebrate the laurels of this majestic being the most famous of them being how Garuda brings amrita the elixir of immortality of the Gods from the Heavens to the Earth. The Garuda imagery commonly arises in Buddhist and other South-Asian cultures as well evolving out of Hinduism and expanding globally. Garuda is said to wear the great snake Adi-Shesha when he flies but this is NOT proof that Garuda is more powerful out of those two! Garuda wears the great snake as a promise he made to the serpents for which have a look at my answer to: If Garuda and Nagas are enemies why does he hold some of them like Vaasuki on his body? THE CONCLUSION: Garuda is credited with other heroic laurels but none for me even comes close remotely to the act of conserving creating and destroying universes and connecting these infinite universes as a single fabric of time a task the Gods entrusted to Adi-Shesha. I would hence go on to claim that the Great Snake (Adi-Shesha) is much more potent and powerful than the Great Eagle (Garuda)!!!Upvote if you liked my answer! I had to do some rigorous research before writing this but it was TOTALLY WORTH IT!!! Follow me on Quora for more answers. Comments are welcomed. Cheers!,Sourojeet Chakraborty,https://www.quora.com/profile/Sourojeet-Chakraborty
