question,link,images,answer,username,userlink
How did you feel when you first visited the Golden Temple?,https://www.quora.com/How-did-you-feel-when-you-first-visited-the-Golden-Temple,https://qph.cf2.quoracdn.net/main-qimg-35384f47f727d89a209749cd8a7b8407-pjlq | https://qph.cf2.quoracdn.net/main-qimg-804a5d79e4760027c3b185d791ae2c3d-pjlq | https://qph.cf2.quoracdn.net/main-qimg-dde0bf733729f27d76b9f9af9ad08349-pjlq | https://qph.cf2.quoracdn.net/main-qimg-c78fa2bb99bd753ca528c54ff0a6e6ec-lq,I would say the first time I went to Darbar Sahib was about 3 years ago. Before that I hadn't been to Darbar Sahib for almost 5 years. Plus factoring in the fact that I was a child and couldn't really process the beauty of Darbar Sahib.Here is my experience I was about 16–17 years old a very immature age. I knew that Darbar Sahib was beautiful and was excited to visit it. The first day we reached Amritsar and arrived at the hotel. And my mother came to my room and said that we will be going to Darbar Sahib at 2:30 am. First reaction Me : You are joking right? (Sounds a bit disrespectful inContinue ReadingI would say the first time I went to Darbar Sahib was about 3 years ago. Before that I hadn't been to Darbar Sahib for almost 5 years. Plus factoring in the fact that I was a child and couldn't really process the beauty of Darbar Sahib.Here is my experience I was about 16–17 years old a very immature age. I knew that Darbar Sahib was beautiful and was excited to visit it. The first day we reached Amritsar and arrived at the hotel. And my mother came to my room and said that we will be going to Darbar Sahib at 2:30 am. First reaction Me : You are joking right? (Sounds a bit disrespectful in English.) Before you read on I would like to confess that I wasn't that spiritual minded at that time nor I had much knowledge. Didn't even know the significance of Golden Temple so please don't judge. My mom was serious I wanted to go  but I wasn't that excited to wake up 2 in the morning. I was told to go and we went. Partially falling asleep in the car on our way it was a 30 minute ride I was dreaming of the soft hotel bed. The magic started to happen…. On our way just before we reached I woke up and started looking out the window I saw soo many people walking towards Darbar Sahib I was shocked for some reason. I didn't expect any one to be going to the Gurdwara at this time and especially not in the amounts I saw. It was a dark night and a cold one. We reached golden temple the outside lights shining bright. As I climbed up the steps..Slowing I could see the golden reflection As I reached up just before making the descent again I froze. (Shri Darbar sahib is built at lover level of ground than normal ground.) It was a moment like no other…. The beauty. The silence. The peace. Unimaginable words.I couldn't lift my eyes off from Darbar Sahib how perfectly it shined in the Sarovar. I couldn't describe the feeling in a million words. I felt connected I felt near to God. I didn't want to leave that day.. The silence was amazing soo peaceful and blissful. There was no rush no race. Every moment could be enjoyed to its limit. I took soo many photos that day in hope that I could capture the beauty in my phone but it's impossible. It was a experience like no other on the universe. Pictures included are of 3 months ago but you can get a idea what it looks like in the night. I always go at night now.   Waheguru ji ka khalsa Waheguru ji ki Fateh,Sukhbir Singh,https://www.quora.com/profile/Sukhbir-Singh-119
"RelatedWhere is the biggest temple or Shakti Peetha of the ""goddess Bagalamukhi""?",https://www.quora.com/Where-is-the-biggest-temple-or-Shakti-Peetha-of-the-goddess-Bagalamukhi,https://qph.cf2.quoracdn.net/main-qimg-98deaeec80ba5e79020b6eecf7847da6-lq | https://qph.cf2.quoracdn.net/main-qimg-fb4f49b14047075cccbdcb77565871e9-lq | https://qph.cf2.quoracdn.net/main-qimg-98deaeec80ba5e79020b6eecf7847da6-lq | https://qph.cf2.quoracdn.net/main-qimg-fb4f49b14047075cccbdcb77565871e9-lq | https://qph.cf2.quoracdn.net/main-qimg-5deacd5082790310d0a84a2b8609ce9f-lq,Goddess Baglamukhi is the eighth Mahavidya.Her worship enables to conquer foes and gaining liberationShe is depicted as a beautiful woman  having a yellow complexion  beating a demon with Her pestle while holding his tongue out  which symbolises paralysing the enemy .Her consort is Ekavaktra or Maharudra bhairava. Baglamukhi is entirely a tantric Devi whose worship cannot be performed unless one is being initiated by a Guru. There are many temples dedicated to Goddess Baglamukhi. The most famous one is in Kangra Bankhandi  Himanchal Pradesh.Another Baglamukhi temple is in Nalkheda in MadhContinue ReadingGoddess Baglamukhi is the eighth Mahavidya.Her worship enables to conquer foes and gaining liberationShe is depicted as a beautiful woman  having a yellow complexion  beating a demon with Her pestle while holding his tongue out  which symbolises paralysing the enemy .Her consort is Ekavaktra or Maharudra bhairava. Baglamukhi is entirely a tantric Devi whose worship cannot be performed unless one is being initiated by a Guru. There are many temples dedicated to Goddess Baglamukhi. The most famous one is in Kangra Bankhandi  Himanchal Pradesh.Another Baglamukhi temple is in Nalkheda in Madhya PradeshSome other lesser known temples of Bhagwati Baglamukhi are Baglapeetham Vallakoti  in Kanchipuram Tamil Nadu Shri Sooryamangalam temple in Papankulam in Tirunellavi district  Tamil Nadu Baglamukhi Sidhha Peetam in Raichur  Karnataka. In nepal  there is a temple dedicated to Baglamukhi in Patan city  since the worship of Tantric Goddesses recieves Royal patronage there,Anshul Singh Negi,https://www.quora.com/profile/Anshul-Singh-Negi-1
RelatedDo Buddhists visit Hindu temples?,https://www.quora.com/Do-Buddhists-visit-Hindu-temples,https://qph.cf2.quoracdn.net/main-qimg-b5e53a504aed8c7f3f7a103bcdaeeda4-lq,Some Buddhists visit Hindu temples; others don’t. It’s a common practice in Sri Lanka. I talked to many Buddhists there about various spiritual topics and they told me that it’s the norm for Sri Lankan Buddhists to visit Hindu temples even doing their main annual pilgrimages to a Hindu temple (Kataragama). I myself visited multiple joint Buddhist-Hindu temple complexes where visitors Buddhist and Hindu alike went from shrine to shrine praying or meditating at both the Buddhist and Hindu shrines. This is very much commonplace in Sri Lanka. It’s also common in Nepal where a large portion ofContinue ReadingSome Buddhists visit Hindu temples; others don’t. It’s a common practice in Sri Lanka. I talked to many Buddhists there about various spiritual topics and they told me that it’s the norm for Sri Lankan Buddhists to visit Hindu temples even doing their main annual pilgrimages to a Hindu temple (Kataragama). I myself visited multiple joint Buddhist-Hindu temple complexes where visitors Buddhist and Hindu alike went from shrine to shrine praying or meditating at both the Buddhist and Hindu shrines. This is very much commonplace in Sri Lanka. It’s also common in Nepal where a large portion of the population identifies as both Hindu and Buddhist and consider them to be one religion not two. They visit each other’s temples without discrimination all the time. There are joint Hindu-Buddhist sites like this in India too from Gaya to Sarnath and other smaller ones in villages here and there. Many Buddhists live in countries where Hindu temples are rare so of course they don’t visit them.,Devala Rees,https://www.quora.com/profile/Devala-Rees
RelatedWhat is astrology? Do people believe in astrology?,https://www.quora.com/What-is-astrology-Do-people-believe-in-astrology,https://qph.cf2.quoracdn.net/main-qimg-4f18af51bd5ab672206eaf6b6ab469b3-lq | https://qph.cf2.quoracdn.net/main-qimg-8a684853eae3f47bc289e56e1fdc99f3,Astrology is God’s law by which everything is governed.As it is in heaven so it is on earth. The kingdom of heaven is within us. Man was made in the image of God.  Many people including me believe in Astrology because“Astrology is never wrong it is the astrologers that go wrong”.The Original source of this answer is my astrology education The pic source is google images.,Upendra Prasad,https://www.quora.com/profile/Upendra-Prasad-163
RelatedWhat is the interpretation of Lord Krishna's Bhagavad Gita?,https://www.quora.com/What-is-the-interpretation-of-Lord-Krishnas-Bhagavad-Gita,,Interpretation summary is as below: 1.You do not live life once you means soul keeps taking birth in one or the other form. 2. A Spiritual Master is must for attaining knowledge about God. 3. God do descends on earth and his knowledge spoken is the true facts. 4. To achieve salvation you need to rise above the worship of Brahma Vishnu Mahesh and have to follow Om Tat Sat ie coded words for medidation through a spiritual master since these words denote powers higher than Brahma Vishnu Mahesh.,Pritam Kirpalusharan,https://www.quora.com/profile/Pritam-Kirpalusharan
RelatedIs Sanatan Dharma different from Hinduism?,https://www.quora.com/Is-Sanatan-Dharma-different-from-Hinduism?no_redirect=1,,Yes there is a difference. Sanatan Dharma teaches we are not this body but spirit souls in a material body. We can’t stop being that. A Hindu can stop being a Hindu and join another religion or no religion but he will still be a spirit soul in a material body.Those who are seers of the truth have concluded that of the nonexistent [the material body] there is no endurance and of the eternal [the soul] there is no change. This they have concluded by studying the nature of both. Bg 2.16,Murari Das,https://www.quora.com/profile/Murari-Das-1
RelatedIs Tripura Sundari despite being the 2nd Mahavidya the most worshiped form of Devi right after Kali and Durga?,https://www.quora.com/Is-Tripura-Sundari-despite-being-the-2nd-Mahavidya-the-most-worshiped-form-of-Devi-right-after-Kali-and-Durga,https://qph.cf2.quoracdn.net/main-qimg-4ca99e7eccbdbc9352e79319decb4f54-lq | https://qph.cf2.quoracdn.net/main-qimg-e38778291fd9253e9ebee3629c02abe2-lq | https://qph.cf2.quoracdn.net/main-qimg-f990be453ba8aca9ef8808f753d6a20a-lq | https://qph.cf2.quoracdn.net/main-qimg-ba80047668911bae0b483c2de6c9b17d-lq,Well I think it would be Devi Tara. In popularity terms after Durga and Kali. the second MahaVidya.Note the difference between Tara Maa and Kali ( Devi Tara on the Right side with a bloated belly)There is a place called Tara Pitha where a grand temple of Maa Tara is situated next to the cremation ground. The idol isAccording to Ramkrishna Paramhansa there is no semblance of Adi Para Shakti as beautiful and charismatic as Tripura SundariThe Path to the Absolute Brahman.. Jai Shree Kalika Mata Regards ❤ Attribution : Pictures : copyright lies with the concerned person and source,Joy Ganguli,https://www.quora.com/profile/Joy-Ganguli-1
RelatedWhat are the different names of Parvati?,https://www.quora.com/What-are-the-different-names-of-Parvati,https://qph.cf2.quoracdn.net/main-qimg-d9a14032b350f06b1d373e3ae59459e1-lq | https://qph.cf2.quoracdn.net/main-qimg-dc1731f37b508fc39a5081f1a3193a61-lq | https://qph.cf2.quoracdn.net/main-qimg-28520c13387e3629a857c87297e37f28-lq | https://qph.cf2.quoracdn.net/main-qimg-1868519d8a852b7d2370f1c8308e8c78-lq | https://qph.cf2.quoracdn.net/main-qimg-f53af514e7dbe2ffbef2a54c07c88331-lq | https://qph.cf2.quoracdn.net/main-qimg-abeba4af9dc552f17cc1b038e898a119-lq | https://qph.cf2.quoracdn.net/main-qimg-f4f04e92c8440fcffc63665923ec674e-lq | https://qph.cf2.quoracdn.net/main-qimg-c9b0f394c763744c44665b3dac2c2b9f-lq | https://qph.cf2.quoracdn.net/main-qimg-d9a14032b350f06b1d373e3ae59459e1-lq | https://qph.cf2.quoracdn.net/main-qimg-dc1731f37b508fc39a5081f1a3193a61-lq | https://qph.cf2.quoracdn.net/main-qimg-28520c13387e3629a857c87297e37f28-lq | https://qph.cf2.quoracdn.net/main-qimg-1868519d8a852b7d2370f1c8308e8c78-lq | https://qph.cf2.quoracdn.net/main-qimg-f53af514e7dbe2ffbef2a54c07c88331-lq | https://qph.cf2.quoracdn.net/main-qimg-abeba4af9dc552f17cc1b038e898a119-lq | https://qph.cf2.quoracdn.net/main-qimg-f4f04e92c8440fcffc63665923ec674e-lq | https://qph.cf2.quoracdn.net/main-qimg-c9b0f394c763744c44665b3dac2c2b9f-lq,There are many names of Parvati. Durga/katyayani/mahishasura mardini.Gauri/Mahagauri/Maheshwari/shailputri/girija/shailsuta/sati/Hemavati.Adya shakti/Adya bhavani/Shakti/ Singhvahini/Sherawali/Parashakti/pahadawali/jotawali/mehrawali.Bhavani/Ambika/kaushiki/Nishumbhashumbhahanani/Madhukaitabhahantri/ChandamundavinashiniKali/Mahakali/Chamunda/bhadrakali/kaalratri.Ganeshjannai/Skandmata/jagdamba/Amba/ jagatmata/jagtajannaiShivpriya/Devi shivaa/Shankari/Uma.Brahmacharani/chandraghanta/Siddhidatri/ kushmanda/Annapurna/shakumbhari/Tripura sundari/Narayani/vaishnavi .Not only this.Parvati has more naContinue ReadingThere are many names of Parvati. Durga/katyayani/mahishasura mardini.Gauri/Mahagauri/Maheshwari/shailputri/girija/shailsuta/sati/Hemavati.Adya shakti/Adya bhavani/Shakti/ Singhvahini/Sherawali/Parashakti/pahadawali/jotawali/mehrawali.Bhavani/Ambika/kaushiki/Nishumbhashumbhahanani/Madhukaitabhahantri/ChandamundavinashiniKali/Mahakali/Chamunda/bhadrakali/kaalratri.Ganeshjannai/Skandmata/jagdamba/Amba/ jagatmata/jagtajannaiShivpriya/Devi shivaa/Shankari/Uma.Brahmacharani/chandraghanta/Siddhidatri/ kushmanda/Annapurna/shakumbhari/Tripura sundari/Narayani/vaishnavi .Not only this.Parvati has more names than this.,Shiv Shakti,https://www.quora.com/profile/Shiv-Shakti-496
Why can't Hindus do anything to people who abuse and disrespect figures like Rama Krishna Hanuman Shiva Ganesha etc.? Do Hindus care at all?,https://www.quora.com/Why-cant-Hindus-do-anything-to-people-who-abuse-and-disrespect-figures-like-Rama-Krishna-Hanuman-Shiva-Ganesha-etc-Do-Hindus-care-at-all,,You can’t disrespect the Gods. A God who feels disrespected by a human is no God. It’s like a human who would curse to the Sun nothing will happen. Then not even spoken of a God who is millions of times more powerful then the Sun.,Danny Binda,https://www.quora.com/profile/Danny-Binda-2
RelatedWho is Goddess Smashana Kali and what's Her iconography?,https://www.quora.com/Who-is-Goddess-Smashana-Kali-and-whats-Her-iconography,https://qph.cf2.quoracdn.net/main-qimg-d6f29558a6ceaede8d4e70774bbceacf-lq | https://qph.cf2.quoracdn.net/main-qimg-709b57bf8eac789f6243884c9650536d-lq | https://qph.cf2.quoracdn.net/main-qimg-f632983439448aceb0f5fd802f9800ea-lq | https://qph.cf2.quoracdn.net/main-qimg-d6f29558a6ceaede8d4e70774bbceacf-lq | https://qph.cf2.quoracdn.net/main-qimg-709b57bf8eac789f6243884c9650536d-lq | https://qph.cf2.quoracdn.net/main-qimg-f632983439448aceb0f5fd802f9800ea-lq,A form of Kāli. She is black as collyrium has 3 eyes and 2 hands. She holds flesh and a bowl of blood and wine. She is naked dressed in a garland of severed heads and chews on raw flesh. She is dancing in the cremation grounds.  Continue ReadingA form of Kāli. She is black as collyrium has 3 eyes and 2 hands. She holds flesh and a bowl of blood and wine. She is naked dressed in a garland of severed heads and chews on raw flesh. She is dancing in the cremation grounds.  ,Śrī Śrī Caṇḍi,https://www.quora.com/profile/%C5%9Ar%C4%AB-%C5%9Ar%C4%AB-Ca%E1%B9%87%E1%B8%8Di
